ts,level,relevant_count,tier3_count,failed_count,sources_scanned
2026-08-04T06:04:14.661516+00:00,QUIET,0,0,0,
2026-08-04T09:55:59.312444+00:00,QUIET,0,0,0,
2026-08-04T13:15:38.451787+00:00,QUIET,0,0,0,
2026-08-04T17:09:16.833068+00:00,QUIET,0,0,0,
2026-08-04T20:48:05.101262+00:00,WATCH,1,0,0,
2026-08-05T00:22:24.416560+00:00,QUIET,0,0,0,
2026-08-05T05:46:35.017055+00:00,QUIET,0,0,0,81
2026-08-05T06:01:41.158937+00:00,QUIET,0,0,0,81
2026-08-05T06:34:47.921880+00:00,QUIET,0,0,0,81
2026-08-05T09:53:38.900946+00:00,QUIET,0,0,0,81
2026-08-05T13:08:54.470188+00:00,QUIET,0,0,0,81
2026-08-05T16:57:15.031276+00:00,QUIET,0,0,0,81
2026-08-05T17:29:17.285822+00:00,QUIET,0,0,0,87
2026-08-05T18:53:37.471917+00:00,QUIET,0,0,0,87
2026-08-05T19:10:40.416771+00:00,QUIET,0,0,0,87
2026-08-05T20:47:13.475782+00:00,QUIET,0,0,0,87
2026-08-06T00:18:10.189850+00:00,QUIET,0,0,0,88
2026-08-06T06:06:47.959618+00:00,QUIET,0,0,0,89
2026-08-06T09:58:03.091931+00:00,QUIET,0,0,0,90
2026-08-06T13:11:07.369564+00:00,QUIET,0,0,0,90
2026-08-06T20:59:00.613154+00:00,QUIET,0,0,0,90
2026-08-07T00:54:58.929577+00:00,WATCH,1,0,0,96
2026-08-07T01:54:13.164338+00:00,QUIET,0,0,0,96
2026-08-07T05:11:35.771927+00:00,WATCH,1,0,0,102
2026-08-07T08:31:30.111943+00:00,QUIET,0,0,0,102
2026-08-07T12:04:04.897764+00:00,QUIET,0,0,0,112
2026-08-07T16:15:50.112847+00:00,QUIET,0,0,0,112
2026-08-07T20:08:20.934201+00:00,QUIET,0,0,0,112
2026-08-07T23:57:16.871457+00:00,QUIET,0,0,0,112
2026-08-08T04:29:26.390000+00:00,QUIET,0,0,0,112
2026-08-08T08:08:44.353162+00:00,QUIET,0,0,0,112
2026-08-08T11:49:15.823770+00:00,WATCH,2,0,0,112
2026-08-08T15:51:02.665216+00:00,QUIET,0,0,0,112
2026-08-08T19:50:27.696087+00:00,QUIET,0,0,0,114
2026-08-08T22:34:28.685257+00:00,QUIET,0,0,0,129
2026-08-08T23:55:05.788714+00:00,QUIET,0,0,0,131
2026-08-09T04:39:13.077029+00:00,QUIET,0,0,0,131
